"lang_pair","testset","system","BLEU","DR_LEX"
"cz-en","newssyscombtest2011","bbn-combo",0.30078106,0.548688826138218
"cz-en","newssyscombtest2011","cmu-heafield-combo",0.28878347,0.541420187161471
"cz-en","newssyscombtest2011","cmu-heafield-combo-contrastive",0.28944206,0.538133134092728
"cz-en","newssyscombtest2011","cst",0.18207618,0.465994029725618
"cz-en","newssyscombtest2011","cst-contrastive",0.17908019,0.470936148929581
"cz-en","newssyscombtest2011","cu-bojar",0.20941028,0.502540115855209
"cz-en","newssyscombtest2011","cu-bojar-contrastive",0.20899333,0.504918441870787
"cz-en","newssyscombtest2011","cu-zeman",0.17768134,0.486145544647915
"cz-en","newssyscombtest2011","jhu",0.21851442,0.505563525295091
"cz-en","newssyscombtest2011","jhu-combo",0.29708252,0.541409565854104
"cz-en","newssyscombtest2011","jhu-combo-contrastive",0.2993983,0.544615751636248
"cz-en","newssyscombtest2011","jhu-contrastive",0.21038958,0.502457981738246
"cz-en","newssyscombtest2011","online-B",0.29626533,0.541819477647863
"cz-en","newssyscombtest2011","systran",0.19189679,0.491234037353235
"cz-en","newssyscombtest2011","udein",0.23393498,0.519525789992194
"cz-en","newssyscombtest2011","uppsala",0.21243812,0.490779662981548
"cz-en","newssyscombtest2011","uppsala-contrastive",0.21015472,0.491544534935976
"cz-en","newssyscombtest2011","upv-prhlt-combo",0.29772774,0.539218481628856
"de-en","newssyscombtest2011","bbn-combo",0.26757603,0.52130293678054
"de-en","newssyscombtest2011","cmu-dyer",0.2272753,0.495226550422943
"de-en","newssyscombtest2011","cmu-heafield-combo",0.25328154,0.51314930262417
"de-en","newssyscombtest2011","cmu-heafield-combo-contrastive",0.25254626,0.514762312236938
"de-en","newssyscombtest2011","cst",0.18629456,0.464348508719595
"de-en","newssyscombtest2011","cst-contrastive",0.18460008,0.465657063093523
"de-en","newssyscombtest2011","cu-zeman",0.1851455,0.478176946366019
"de-en","newssyscombtest2011","dfki-xu",0.22448486,0.493192134189709
"de-en","newssyscombtest2011","dfki-xu-contrastive",0.21714271,0.486991742366342
"de-en","newssyscombtest2011","jhu",0.19414868,0.481417912174297
"de-en","newssyscombtest2011","jhu-combo",0.25232795,0.514329484633223
"de-en","newssyscombtest2011","jhu-combo-contrastive",0.24611951,0.512861256907365
"de-en","newssyscombtest2011","jhu-contrastive",0.18793864,0.480261859174168
"de-en","newssyscombtest2011","kit",0.22761212,0.501357417166355
"de-en","newssyscombtest2011","koc",0.20373179,0.483338097621557
"de-en","newssyscombtest2011","koc-combo",0.23412691,0.496891588138292
"de-en","newssyscombtest2011","koc-contrastive",0.20318408,0.48176967710741
"de-en","newssyscombtest2011","limsi",0.2149431,0.487918812624827
"de-en","newssyscombtest2011","limsi-contrastive",0.20940033,0.485790410475342
"de-en","newssyscombtest2011","linguatec",0.17235378,0.489631312194284
"de-en","newssyscombtest2011","liu",0.20955509,0.495222447542604
"de-en","newssyscombtest2011","online-A",0.23165143,0.512487921699314
"de-en","newssyscombtest2011","online-B",0.24288107,0.51365145005777
"de-en","newssyscombtest2011","quaero-combo",0.23381052,0.494498034279682
"de-en","newssyscombtest2011","rbmt-1",0.17643803,0.487702267891719
"de-en","newssyscombtest2011","rbmt-2",0.15894506,0.477001740142316
"de-en","newssyscombtest2011","rbmt-3",0.18472522,0.489647380532467
"de-en","newssyscombtest2011","rbmt-4",0.17977241,0.485583696591386
"de-en","newssyscombtest2011","rbmt-5",0.1616633,0.478261782680882
"de-en","newssyscombtest2011","rwth-freitag-contrastive",0.21870458,0.490366688990472
"de-en","newssyscombtest2011","rwth-leusch-combo",0.25635083,0.509952473126777
"de-en","newssyscombtest2011","rwth-wuebker",0.22075626,0.498238475967526
"de-en","newssyscombtest2011","udein",0.20375683,0.493574612973942
"de-en","newssyscombtest2011","uppsala",0.20617165,0.483963475781607
"de-en","newssyscombtest2011","upv-prhlt-combo",0.24660179,0.508709242279685
"de-en","newssyscombtest2011","uzh-combo",0.24558876,0.513547429182869
"es-en","newssyscombtest2011","alacant",0.28605771,0.529163520918533
"es-en","newssyscombtest2011","bbn-combo",0.34211113,0.559693266563541
"es-en","newssyscombtest2011","cmu-heafield-combo",0.32928574,0.550415009711699
"es-en","newssyscombtest2011","cmu-heafield-combo-contrastive",0.32487394,0.550064229401353
"es-en","newssyscombtest2011","cu-zeman",0.20901544,0.487020356279988
"es-en","newssyscombtest2011","hyderabad",0.19949752,0.48376653366165
"es-en","newssyscombtest2011","jhu-combo",0.33556844,0.549056833571688
"es-en","newssyscombtest2011","jhu-combo-contrastive",0.33508813,0.555462593518791
"es-en","newssyscombtest2011","koc",0.28710599,0.535219759959731
"es-en","newssyscombtest2011","koc-combo",0.30695777,0.546552642645922
"es-en","newssyscombtest2011","koc-contrastive",0.28521527,0.52996085018678
"es-en","newssyscombtest2011","online-A",0.30243291,0.549931334899008
"es-en","newssyscombtest2011","online-B",0.29881778,0.544304196755237
"es-en","newssyscombtest2011","rbmt-1",0.283257,0.529385242398358
"es-en","newssyscombtest2011","rbmt-2",0.24422271,0.515947224121024
"es-en","newssyscombtest2011","rbmt-3",0.25257238,0.527197002340362
"es-en","newssyscombtest2011","rbmt-4",0.25386173,0.527821389824992
"es-en","newssyscombtest2011","rbmt-5",0.27214609,0.52473988195173
"es-en","newssyscombtest2011","rwth-leusch-combo",0.33512318,0.556931544454549
"es-en","newssyscombtest2011","rwth-leusch-combo-contrastive",0.32755901,0.552620459746281
"es-en","newssyscombtest2011","systran",0.27884892,0.527994882440484
"es-en","newssyscombtest2011","udein",0.23082689,0.50970374264547
"es-en","newssyscombtest2011","ufal-um",0.233302,0.511008517607933
"es-en","newssyscombtest2011","upm",0.23099601,0.51012827382326
"es-en","newssyscombtest2011","upv-prhlt-combo",0.32761603,0.554219328936087
"fr-en","newssyscombtest2011","bbn-combo",0.32896228,0.559462220699926
"fr-en","newssyscombtest2011","cmu-denkowski",0.28438567,0.540760960556068
"fr-en","newssyscombtest2011","cmu-denkowski-contrastive",0.28302967,0.538148653068336
"fr-en","newssyscombtest2011","cmu-hanneman",0.27646645,0.529716444884968
"fr-en","newssyscombtest2011","cmu-hanneman-contrastive",0.27239409,0.525282897447391
"fr-en","newssyscombtest2011","cmu-heafield-combo",0.31599433,0.554855075935548
"fr-en","newssyscombtest2011","cmu-heafield-combo-contrastive",0.31372485,0.55160417212493
"fr-en","newssyscombtest2011","cu-zeman",0.22014402,0.508504241700817
"fr-en","newssyscombtest2011","jhu",0.27743482,0.536212083422513
"fr-en","newssyscombtest2011","jhu-combo",0.31925455,0.554522143995288
"fr-en","newssyscombtest2011","jhu-combo-contrastive",0.3181168,0.552996540367506
"fr-en","newssyscombtest2011","kit",0.30438382,0.54610625915612
"fr-en","newssyscombtest2011","lia-lig",0.297513,0.545322411161804
"fr-en","newssyscombtest2011","lia-lig-contrastive",0.29759273,0.542802667753069
"fr-en","newssyscombtest2011","limsi",0.29019849,0.544233797552973
"fr-en","newssyscombtest2011","limsi-contrastive",0.28572937,0.536446508432896
"fr-en","newssyscombtest2011","lium",0.29837437,0.544014354293791
"fr-en","newssyscombtest2011","lium-combo",0.31783446,0.548381465530775
"fr-en","newssyscombtest2011","lium-combo-contrastive",0.31539769,0.550385952635744
"fr-en","newssyscombtest2011","online-A",0.29093409,0.545619270279397
"fr-en","newssyscombtest2011","online-B",0.30100166,0.552201685653367
"fr-en","newssyscombtest2011","rbmt-1",0.24247057,0.52424235889955
"fr-en","newssyscombtest2011","rbmt-2",0.21511036,0.511230590910334
"fr-en","newssyscombtest2011","rbmt-3",0.23002754,0.517841607884952
"fr-en","newssyscombtest2011","rbmt-4",0.2222554,0.514181196218801
"fr-en","newssyscombtest2011","rbmt-5",0.20961153,0.511594872422927
"fr-en","newssyscombtest2011","rwth-huck",0.2947227,0.541351552047522
"fr-en","newssyscombtest2011","rwth-huck-contrastive",0.2870395,0.538174909409416
"fr-en","newssyscombtest2011","rwth-huck-contrastive2",0.28687103,0.536088631182837
"fr-en","newssyscombtest2011","rwth-leusch-combo",0.32552891,0.55497344913242
"fr-en","newssyscombtest2011","rwth-leusch-combo-contrastive",0.32303578,0.555564496263815
"fr-en","newssyscombtest2011","rwth-leusch-combo-contrastive2",0.32187397,0.557581734414995
"fr-en","newssyscombtest2011","systran",0.2632463,0.521716585450531
"fr-en","newssyscombtest2011","udein",0.25564799,0.520707302497625
"fr-en","newssyscombtest2011","upv-prhlt-combo",0.3188901,0.551440148009463
